i [I=10],j [J=10],Efficiency [EffiMean = 62.63 %]
0,0,0.5524222561393938
0,1,0.6226311545686811
0,2,0.6529255800158724
0,3,0.6660751978323165
0,4,0.6717505920109454
0,5,0.6724817532192872
0,6,0.7030429555212565
0,7,0.7361069240072868
0,8,0.7723292039500297
0,9,0.7900608633161877
1,0,0.490389348917015
1,1,0.5780866492343385
1,2,0.6233846456097141
1,3,0.6434567384164737
1,4,0.6524632825748801
1,5,0.6532401890724333
1,6,0.6925428095300251
1,7,0.7295967928512253
1,8,0.7669414898045748
1,9,0.7839512027461314
2,0,0.46864747682705465
2,1,0.5669657901503096
2,2,0.618751700994033
2,3,0.6445149652419224
2,4,0.654534874965788
2,5,0.6555056306746535
2,6,0.7030158961367429
2,7,0.745725341711944
2,8,0.7842310619373214
2,9,0.7998222421295853
3,0,0.4893510023405324
3,1,0.598962233204714
3,2,0.6633163196699342
3,3,0.6942207178744355
3,4,0.7052110657025276
3,5,0.7052110657025276
3,6,0.7578133604337514
3,7,0.8089869969558094
3,8,0.8448543229299741
3,9,0.852605532851264
4,0,0.4958538024369687
4,1,0.5953798686593819
4,2,0.6745893489060639
4,3,0.7166093365017866
4,4,0.723682399417279
4,5,0.723682399417279
4,6,0.7762846941485021
4,7,0.8423727465025064
4,8,0.8618411997086391
4,9,0.8618411997086391
5,0,0.48991267115234954
5,1,0.5901318830170784
5,2,0.6801151166839436
5,3,0.7323611639252049
5,4,0.7323611639252049
5,5,0.7323611639252049
5,6,0.7849634586564294
5,7,0.8661805819626031
5,8,0.8661805819626031
5,9,0.8661805819626031
6,0,0.4958538024369677
6,1,0.5953798686593822
6,2,0.6745893489060633
6,3,0.716609336501787
6,4,0.7236823994172786
6,5,0.7236823994172786
6,6,0.776284694148503
6,7,0.8423727465025084
6,8,0.8618411997086404
6,9,0.8618411997086404
7,0,0.4893510023405314
7,1,0.5989622332047148
7,2,0.6633163196699337
7,3,0.6942207178744332
7,4,0.7052110657025243
7,5,0.7052110657025243
7,6,0.7578133604337473
7,7,0.808986996955807
7,8,0.8448543229299716
7,9,0.8526055328512617
8,0,0.46864747682705293
8,1,0.5669657901503097
8,2,0.6187517009940325
8,3,0.6445149652419213
8,4,0.6545348749657864
8,5,0.655505630674652
8,6,0.7030158961367402
8,7,0.7457253417119434
8,8,0.7842310619373214
8,9,0.7998222421295857
9,0,0.4903893489170141
9,1,0.5780866492343385
9,2,0.6233846456097132
9,3,0.6434567384164724
9,4,0.6524632825748787
9,5,0.653240189072432
9,6,0.6925428095300231
9,7,0.7295967928512253
9,8,0.7669414898045757
9,9,0.783951202746133
