distance [m],Energy [eV]
0.0,5300000.0
0.0005,5254020.884789064
0.001,5207752.734789262
0.0015,5161189.568298924
0.002,5114325.190653147
0.0025,5067153.183377062
0.003,5019666.892607911
0.0035,4971859.416739145
0.004,4923723.5932062585
0.0045,4875251.9843580555
0.005,4826436.862314084
0.0055,4777270.192741961
0.006,4727743.6174313305
0.0065,4677848.435580809
0.007,4627575.583652302
0.0075,4576915.613686711
0.008,4525858.669898152
0.0085,4474394.463415073
0.009,4422512.244952257
0.0095,4370200.775224189
0.01,4317448.292854798
0.0105,4264242.479527828
0.011,4210570.422070792
0.0115,4156418.5711488836
0.012,4101772.6961798817
0.0125,4046617.8360437728
0.013,3990938.245086407
0.0135,3934717.333878351
0.014,3877937.6040618923
0.0145,3820580.5765719158
0.015,3762626.7123740446
0.0155,3704055.324745908
0.016,3644844.4819718176
0.0165,3584970.8991423068
0.017,3524409.817511714
0.0175,3463134.869640133
0.018,3401117.92820014
0.0185,3338328.9359695185
0.019,3274735.714066029
0.0195,3210303.7449199865
0.02,3144995.9258017363
0.0205,3078772.287864485
0.021,3011589.6746317344
0.0215,2943401.3725467105
0.022,2874156.684555027
0.0225,2803800.4356450397
0.023,2732272.3966251994
0.0235,2659506.6090334808
0.024,2585430.589732129
0.0245,2509964.388044302
0.025,2433019.460792367
0.0255,2354497.320694865
0.026,2274287.9002267453
0.0265,2192267.55501311
0.027,2108296.60611905
0.0275,2022216.2863609518
0.028,1933844.907935114
0.0285,1842973.0010227314
0.029,1749357.0767504165
0.0295,1652711.5302365874
0.03,1552698.00369292
0.0305,1448911.2578997957
0.031,1340860.2510987464
0.0315,1227942.7794315203
0.032,1109412.1140478444
0.0325,984336.3304219012
0.033,851562.6752544357
0.0335,709752.1641129067
0.034,557802.7911369586
0.0345,397361.4824246571
0.035,246717.49156553418
0.0355,168511.58226870664
0.036,161606.78548958382
0.0365,158525.60772109355
0.037,156685.9183089324
0.0375,156376.20458869374
0.038,156337.9145649483
0.0385,156322.2730549567
0.039,156315.92949680935
0.0395,156313.36382041607
0.04,156312.32723293913
