distance [m],Energy [eV]
0.0,7700000.0
0.0001,7693013.409006543
0.0002,7686022.114175869
0.0003,7679026.105250209
0.0004,7672025.371930346
0.0005,7665019.903883145
0.0006,7658009.690734908
0.0007,7650994.722072213
0.0008,7643974.987444391
0.0009,7636950.476362704
0.001,7629921.178297034
0.0011,7622887.082679185
0.0012,7615848.178902068
0.0013,7608804.456316378
0.0014,7601755.904234745
0.0015,7594702.511929239
0.0016,7587644.268631379
0.0017,7580581.163531299
0.0018,7573513.18577941
0.0019,7566440.324484735
0.002,7559362.5687140925
0.0021,7552279.907493743
0.0022,7545192.329807738
0.0023,7538099.824598748
0.0024,7531002.380765579
0.0025,7523899.987167305
0.0026,7516792.632618314
0.0027,7509680.305889125
0.0028,7502562.9957105275
0.0029,7495440.69076697
0.003,7488313.379700687
0.0031,7481181.051109218
0.0032,7474043.693547067
0.0033,7466901.295522393
0.0034,7459753.845502797
0.0035,7452601.331906221
0.0036,7445443.743109226
0.0037,7438281.067441198
0.0038,7431113.2931860015
0.0039,7423940.408582807
0.004,7416762.401824439
0.0041,7409579.261056548
0.0042,7402390.9743784275
0.0043,7395197.529843037
0.0044,7387998.915456974
0.0045,7380795.119177188
0.0046,7373586.1289151
0.0047,7366371.932534134
0.0048,7359152.517848051
0.0049,7351927.87262344
0.005,7344697.984578881
0.0051,7337462.841381647
0.0052,7330222.430651828
0.0053,7322976.739959035
0.0054,7315725.756824042
0.0055,7308469.468716313
0.0056,7301207.863055651
0.0057,7293940.927211373
0.0058,7286668.648501484
0.0059,7279391.014192672
0.006,7272108.011500314
0.0061,7264819.6275884705
0.0062,7257525.849568235
0.0063,7250226.664498556
0.0064,7242922.059385417
0.0065,7235612.021183488
0.0066,7228296.536791151
0.0067,7220975.593056311
0.0068,7213649.17677059
0.0069,7206317.274672638
0.007,7198979.873446485
0.0071,7191636.959719879
0.0072,7184288.520066769
0.0073,7176934.541004828
0.0074,7169575.008997931
0.0075,7162209.910451189
0.0076,7154839.231713434
0.0077,7147462.959078043
0.0078,7140081.078781292
0.0079,7132693.577000688
0.008,7125300.439855805
0.0081,7117901.653409941
0.0082,7110497.203665141
0.0083,7103087.076568004
0.0084,7095671.258002222
0.0085,7088249.733794388
0.0086,7080822.489710669
0.0087,7073389.51145599
0.0088,7065950.784675686
0.0089,7058506.294954671
0.009,7051056.027814135
0.0091,7043599.968715671
0.0092,7036138.103057152
0.0093,7028670.416176025
0.0094,7021196.893345185
0.0095,7013717.519774625
0.0096,7006232.28061061
0.0097,6998741.160935675
0.0098,6991244.145767798
0.0099,6983741.220060405
0.01,6976232.368701534
0.0101,6968717.576513013
0.0102,6961196.828251285
0.0103,6953670.108607412
0.0104,6946137.402203757
0.0105,6938598.693595647
0.0106,6931053.967272196
0.0107,6923503.207652999
0.0108,6915946.399090607
0.0109,6908383.525867224
0.011,6900814.572196359
0.0111,6893239.522222
0.0112,6885658.360016128
0.0113,6878071.069583685
0.0114,6870477.634855127
0.0115,6862878.039690558
0.0116,6855272.267878904
0.0117,6847660.303135435
0.0118,6840042.129102584
0.0119,6832417.72935078
0.012,6824787.087374308
0.0121,6817150.186595451
0.0122,6809507.010361174
0.0123,6801857.54194147
0.0124,6794201.764533501
0.0125,6786539.661254974
0.0126,6778871.215149939
0.0127,6771196.40918216
0.0128,6763515.226241742
0.0129,6755827.649136855
0.013,6748133.660598697
0.0131,6740433.243279011
0.0132,6732726.379750086
0.0133,6725013.052502277
0.0134,6717293.243948966
0.0135,6709566.9364174595
0.0136,6701834.112157267
0.0137,6694094.7533326475
0.0138,6686348.842027584
0.0139,6678596.360240807
0.014,6670837.289887457
0.0141,6663071.612798256
0.0142,6655299.310717848
0.0143,6647520.365308115
0.0144,6639734.75814155
0.0145,6631942.470705405
0.0146,6624143.484399196
0.0147,6616337.78053471
0.0148,6608525.340334348
0.0149,6600706.144931956
0.015,6592880.175372819
0.0151,6585047.412610355
0.0152,6577207.837506939
0.0153,6569361.430833907
0.0154,6561508.1732707275
0.0155,6553648.045404171
0.0156,6545781.027725828
0.0157,6537907.100635421
0.0158,6530026.244437498
0.0159,6522138.439338938
0.016,6514243.665454756
0.0161,6506341.90279982
0.0162,6498433.131292162
0.0163,6490517.330753813
0.0164,6482594.480905825
0.0165,6474664.561372421
0.0166,6466727.551674363
0.0167,6458783.431233927
0.0168,6450832.179372417
0.0169,6442873.775306852
0.017,6434908.198153276
0.0171,6426935.426924282
0.0172,6418955.440526522
0.0173,6410968.217761539
0.0174,6402973.737328246
0.0175,6394971.977814653
0.0176,6386962.917704484
0.0177,6378946.535372219
0.0178,6370922.809084741
0.0179,6362891.716998028
0.018,6354853.237157154
0.0181,6346807.347498774
0.0182,6338754.025844497
0.0183,6330693.24990503
0.0184,6322624.997276037
0.0185,6314549.245441452
0.0186,6306465.971766848
0.0187,6298375.15350442
0.0188,6290276.767787179
0.0189,6282170.791633093
0.019,6274057.2019376345
0.0191,6265935.975481242
0.0192,6257807.088921027
0.0193,6249670.518794097
0.0194,6241526.241515068
0.0195,6233374.233375236
0.0196,6225214.470543405
0.0197,6217046.929062578
0.0198,6208871.584849126
0.0199,6200688.413694452
0.02,6192497.391260837
0.0201,6184298.493083943
0.0202,6176091.694567826
0.0203,6167876.97098661
0.0204,6159654.297484476
0.0205,6151423.649070697
0.0206,6143185.000622952
0.0207,6134938.326884017
0.0208,6126683.602460929
0.0209,6118420.801824167
0.021,6110149.899306819
0.0211,6101870.869102932
0.0212,6093583.68526833
0.0213,6085288.321716492
