i,j,n,m,ray[m]
0,0,0,0,0.06487499999999999
0,0,0,1,0.06222539674441618
0,0,0,2,0.044
0,0,0,3,inf
0,0,0,4,inf
0,0,1,0,0.06487499999999999
0,0,1,1,0.05171718330588067
0,0,1,2,0.03656957101945593
0,0,1,3,inf
0,0,1,4,inf
0,0,2,0,0.06487499999999999
0,0,2,1,0.03111269837220809
0,0,2,2,0.022
0,0,2,3,inf
0,0,2,4,inf
0,0,3,0,0.06487499999999999
0,0,3,1,0.018717183305880663
0,0,3,2,0.01323504724029986
0,0,3,3,0.018717183305880663
0,0,3,4,inf
0,0,4,0,0.06487499999999999
0,0,4,1,0.015556349186104044
0,0,4,2,0.011
0,0,4,3,0.015556349186104044
0,0,4,4,inf
0,0,5,0,0.06487499999999999
0,0,5,1,0.018717183305880663
0,0,5,2,0.01323504724029986
0,0,5,3,0.018717183305880663
0,0,5,4,inf
0,0,6,0,0.06487499999999999
0,0,6,1,0.03111269837220808
0,0,6,2,0.021999999999999995
0,0,6,3,inf
0,0,6,4,inf
0,0,7,0,0.06487499999999999
0,0,7,1,0.051717183305880654
0,0,7,2,0.036569571019455925
0,0,7,3,inf
0,0,7,4,inf
0,1,0,0,0.04325
0,1,0,1,0.06116473657263635
0,1,0,2,0.044
0,1,0,3,inf
0,1,0,4,inf
0,1,1,0,0.04325
0,1,1,1,0.05171718330588067
0,1,1,2,0.03656957101945593
0,1,1,3,0.05171718330588067
0,1,1,4,inf
0,1,2,0,0.04325
0,1,2,1,0.03111269837220809
0,1,2,2,0.022
0,1,2,3,0.03111269837220809
0,1,2,4,inf
0,1,3,0,0.04325
0,1,3,1,0.018717183305880663
0,1,3,2,0.01323504724029986
0,1,3,3,0.018717183305880663
0,1,3,4,inf
0,1,4,0,0.04325
0,1,4,1,0.015556349186104044
0,1,4,2,0.011
0,1,4,3,0.015556349186104044
0,1,4,4,inf
0,1,5,0,0.04325
0,1,5,1,0.018717183305880663
0,1,5,2,0.01323504724029986
0,1,5,3,0.018717183305880663
0,1,5,4,inf
0,1,6,0,0.04325
0,1,6,1,0.03111269837220808
0,1,6,2,0.021999999999999995
0,1,6,3,0.03111269837220808
0,1,6,4,inf
0,1,7,0,0.04325
0,1,7,1,0.051717183305880654
0,1,7,2,0.036569571019455925
0,1,7,3,0.051717183305880654
0,1,7,4,inf
1,0,0,0,0.06487499999999999
1,0,0,1,0.04666904755831214
1,0,0,2,0.033
1,0,0,3,inf
1,0,0,4,inf
1,0,1,0,0.06487499999999999
1,0,1,1,0.04399999999999999
1,0,1,2,0.03111269837220809
1,0,1,3,inf
1,0,1,4,inf
1,0,2,0,0.06487499999999999
1,0,2,1,0.038105117766515297
1,0,2,2,0.02694438717061496
1,0,2,3,inf
1,0,2,4,inf
1,0,3,0,0.06487499999999999
1,0,3,1,0.032999999999999995
1,0,3,2,0.023334523779156065
1,0,3,3,inf
1,0,3,4,inf
1,0,4,0,0.06487499999999999
1,0,4,1,0.03111269837220809
1,0,4,2,0.022
1,0,4,3,inf
1,0,4,4,inf
1,0,5,0,0.06487499999999999
1,0,5,1,0.03299999999999999
1,0,5,2,0.023334523779156062
1,0,5,3,inf
1,0,5,4,inf
1,0,6,0,0.06487499999999999
1,0,6,1,0.038105117766515297
1,0,6,2,0.02694438717061496
1,0,6,3,inf
1,0,6,4,inf
1,0,7,0,0.06487499999999999
1,0,7,1,0.04399999999999999
1,0,7,2,0.03111269837220809
1,0,7,3,inf
1,0,7,4,inf
1,1,0,0,0.04325
1,1,0,1,0.04666904755831214
1,1,0,2,0.033
1,1,0,3,0.04666904755831214
1,1,0,4,inf
1,1,1,0,0.04325
1,1,1,1,0.04399999999999999
1,1,1,2,0.03111269837220809
1,1,1,3,0.04399999999999999
1,1,1,4,inf
1,1,2,0,0.04325
1,1,2,1,0.038105117766515297
1,1,2,2,0.02694438717061496
1,1,2,3,0.038105117766515297
1,1,2,4,inf
1,1,3,0,0.04325
1,1,3,1,0.032999999999999995
1,1,3,2,0.023334523779156065
1,1,3,3,0.032999999999999995
1,1,3,4,inf
1,1,4,0,0.04325
1,1,4,1,0.03111269837220809
1,1,4,2,0.022
1,1,4,3,0.03111269837220809
1,1,4,4,inf
1,1,5,0,0.04325
1,1,5,1,0.03299999999999999
1,1,5,2,0.023334523779156062
1,1,5,3,0.03299999999999999
1,1,5,4,inf
1,1,6,0,0.04325
1,1,6,1,0.038105117766515297
1,1,6,2,0.02694438717061496
1,1,6,3,0.038105117766515297
1,1,6,4,inf
1,1,7,0,0.04325
1,1,7,1,0.04399999999999999
1,1,7,2,0.03111269837220809
1,1,7,3,0.04399999999999999
1,1,7,4,inf
